Data collected on 04/27/2007 04:18:06 PM from an HP54600A at address 5.


Source=CHAN1,Source=CHAN1,Source=CHAN2,Source=CHAN2
Label=CHAN1,Label=CHAN1,Label=CHAN2,Label=CHAN2
Data=Horiz,Data=Vert,Data=Horiz,Data=Vert
Units=s,Units=V,Units=s,Units=V
-6.800000E-05,+3.000000E+00,-6.800000E-05,+1.250000E-01
-6.600000E-05,+3.031250E+00,-6.600000E-05,+1.250000E-01
-6.400000E-05,+3.000000E+00,-6.400000E-05,+1.250000E-01
-6.200000E-05,+3.000000E+00,-6.200000E-05,+6.250000E-02
-6.000000E-05,+3.000000E+00,-6.000000E-05,+1.250000E-01
-5.800000E-05,+3.031250E+00,-5.800000E-05,+1.250000E-01
-5.600000E-05,+3.031250E+00,-5.600000E-05,+6.250000E-02
-5.400000E-05,+3.031250E+00,-5.400000E-05,+1.250000E-01
-5.200000E-05,+3.000000E+00,-5.200000E-05,+1.250000E-01
-5.000000E-05,+3.000000E+00,-5.000000E-05,+1.250000E-01
-4.800000E-05,+3.031250E+00,-4.800000E-05,+1.250000E-01
-4.600000E-05,+3.000000E+00,-4.600000E-05,+6.250000E-02
-4.400000E-05,+3.031250E+00,-4.400000E-05,+1.250000E-01
-4.200000E-05,+3.031250E+00,-4.200000E-05,+1.250000E-01
-4.000000E-05,+3.031250E+00,-4.000000E-05,+1.250000E-01
-3.800000E-05,+3.000000E+00,-3.800000E-05,+1.875000E-01
-3.600000E-05,+3.031250E+00,-3.600000E-05,+1.875000E-01
-3.400000E-05,+3.031250E+00,-3.400000E-05,+1.250000E-01
-3.200000E-05,+3.031250E+00,-3.200000E-05,+1.875000E-01
-3.000000E-05,+3.000000E+00,-3.000000E-05,+1.250000E-01
-2.800000E-05,+3.031250E+00,-2.800000E-05,+1.250000E-01
-2.600000E-05,+3.000000E+00,-2.600000E-05,+1.250000E-01
-2.400000E-05,+3.031250E+00,-2.400000E-05,+6.250000E-02
-2.200000E-05,+3.031250E+00,-2.200000E-05,+1.250000E-01
-2.000000E-05,+3.031250E+00,-2.000000E-05,+1.250000E-01
-1.800000E-05,+3.031250E+00,-1.800000E-05,+1.875000E-01
-1.600000E-05,+3.031250E+00,-1.600000E-05,+1.250000E-01
-1.400000E-05,+3.031250E+00,-1.400000E-05,+1.250000E-01
-1.200000E-05,+3.000000E+00,-1.200000E-05,+1.250000E-01
-1.000000E-05,+3.000000E+00,-1.000000E-05,+1.875000E-01
-8.000000E-06,+3.031250E+00,-8.000000E-06,+1.250000E-01
-6.000000E-06,+3.000000E+00,-6.000000E-06,+1.875000E-01
-4.000000E-06,+3.031250E+00,-4.000000E-06,+1.250000E-01
-2.000000E-06,+3.000000E+00,-2.000000E-06,+1.250000E-01
-2.541099E-21,+3.281250E+00,-2.541099E-21,+3.375000E+00
+2.000000E-06,+2.437500E+00,+2.000000E-06,+2.687500E+00
+4.000000E-06,+2.906250E+00,+4.000000E-06,+2.125000E+00
+6.000000E-06,+2.968750E+00,+6.000000E-06,+1.687500E+00
+8.000000E-06,+3.000000E+00,+8.000000E-06,+1.000000E+00
+1.000000E-05,+3.000000E+00,+1.000000E-05,+6.250000E-01
+1.200000E-05,+3.000000E+00,+1.200000E-05,+3.750000E-01
+1.400000E-05,+3.000000E+00,+1.400000E-05,+3.125000E-01
+1.600000E-05,+3.125000E-02,+1.600000E-05,+1.250000E-01
+1.800000E-05,+1.906250E+00,+1.800000E-05,+2.500000E-01
+2.000000E-05,+2.875000E+00,+2.000000E-05,+1.875000E-01
+2.200000E-05,+2.968750E+00,+2.200000E-05,+1.875000E-01
+2.400000E-05,+3.031250E+00,+2.400000E-05,+1.250000E-01
+2.600000E-05,+3.000000E+00,+2.600000E-05,+1.250000E-01
+2.800000E-05,+3.000000E+00,+2.800000E-05,+1.875000E-01
+3.000000E-05,+3.031250E+00,+3.000000E-05,+6.250000E-02
+3.200000E-05,+3.000000E+00,+3.200000E-05,+1.250000E-01
+3.400000E-05,+3.031250E+00,+3.400000E-05,+1.250000E-01
+3.600000E-05,+3.031250E+00,+3.600000E-05,+6.250000E-02
+3.800000E-05,+3.125000E-01,+3.800000E-05,+1.875000E-01
+4.000000E-05,+2.781250E+00,+4.000000E-05,+1.875000E-01
+4.200000E-05,+3.000000E+00,+4.200000E-05,+1.250000E-01
+4.400000E-05,+3.000000E+00,+4.400000E-05,+1.250000E-01
+4.600000E-05,+3.000000E+00,+4.600000E-05,+1.250000E-01
+4.800000E-05,+3.000000E+00,+4.800000E-05,+1.250000E-01
+5.000000E-05,+3.000000E+00,+5.000000E-05,+1.250000E-01
+5.200000E-05,-6.250000E-02,+5.200000E-05,+3.312500E+00
+5.400000E-05,+2.281250E+00,+5.400000E-05,+2.500000E+00
+5.600000E-05,+2.937500E+00,+5.600000E-05,+2.000000E+00
+5.800000E-05,+2.968750E+00,+5.800000E-05,+1.500000E+00
+6.000000E-05,+3.000000E+00,+6.000000E-05,+1.062500E+00
+6.200000E-05,+3.000000E+00,+6.200000E-05,+5.625000E-01
+6.400000E-05,+3.031250E+00,+6.400000E-05,+4.375000E-01
+6.600000E-05,+3.000000E+00,+6.600000E-05,+2.500000E-01
+6.800000E-05,-6.250000E-02,+6.800000E-05,+1.250000E-01
+7.000000E-05,+1.843750E+00,+7.000000E-05,+2.500000E-01
+7.200000E-05,+2.937500E+00,+7.200000E-05,+1.250000E-01
+7.400000E-05,+3.031250E+00,+7.400000E-05,+1.250000E-01
+7.600000E-05,+3.000000E+00,+7.600000E-05,+1.250000E-01
+7.800000E-05,+3.031250E+00,+7.800000E-05,+1.250000E-01
+8.000000E-05,+3.000000E+00,+8.000000E-05,+2.500000E-01
+8.200000E-05,+2.187500E-01,+8.200000E-05,+2.500000E-01
+8.400000E-05,+2.781250E+00,+8.400000E-05,+1.875000E-01
+8.600000E-05,+2.968750E+00,+8.600000E-05,+1.875000E-01
+8.800000E-05,+3.000000E+00,+8.800000E-05,+1.875000E-01
+9.000000E-05,+3.031250E+00,+9.000000E-05,+1.250000E-01
+9.200000E-05,+3.031250E+00,+9.200000E-05,+1.250000E-01
+9.400000E-05,-6.250000E-02,+9.400000E-05,+3.187500E+00
+9.600000E-05,+2.625000E+00,+9.600000E-05,+2.750000E+00
+9.800000E-05,+2.968750E+00,+9.800000E-05,+2.062500E+00
+1.000000E-04,+2.968750E+00,+1.000000E-04,+1.562500E+00
+1.020000E-04,+3.031250E+00,+1.020000E-04,+1.125000E+00
+1.040000E-04,+2.968750E+00,+1.040000E-04,+5.625000E-01
+1.060000E-04,+0.000000E+00,+1.060000E-04,+8.125000E-01
+1.080000E-04,+6.250000E-01,+1.080000E-04,+1.875000E-01
+1.100000E-04,+2.718750E+00,+1.100000E-04,+2.500000E-01
+1.120000E-04,+2.968750E+00,+1.120000E-04,+1.875000E-01
+1.140000E-04,+2.968750E+00,+1.140000E-04,+1.250000E-01
+1.160000E-04,+3.000000E+00,+1.160000E-04,+1.250000E-01
+1.180000E-04,+3.000000E+00,+1.180000E-04,+1.250000E-01
+1.200000E-04,+8.437500E-01,+1.200000E-04,+2.500000E-01
+1.220000E-04,+2.781250E+00,+1.220000E-04,+2.500000E-01
+1.240000E-04,+2.968750E+00,+1.240000E-04,+1.875000E-01
+1.260000E-04,+3.000000E+00,+1.260000E-04,+1.250000E-01
+1.280000E-04,+3.031250E+00,+1.280000E-04,+1.250000E-01
+1.300000E-04,+3.031250E+00,+1.300000E-04,+1.250000E-01
+1.320000E-04,+0.000000E+00,+1.320000E-04,+3.312500E+00
+1.340000E-04,+2.531250E+00,+1.340000E-04,+2.500000E+00
+1.360000E-04,+2.937500E+00,+1.360000E-04,+2.000000E+00
+1.380000E-04,+3.000000E+00,+1.380000E-04,+1.625000E+00
+1.400000E-04,+3.000000E+00,+1.400000E-04,+9.375000E-01
+1.420000E-04,+3.000000E+00,+1.420000E-04,+6.875000E-01
+1.440000E-04,+3.125000E-02,+1.440000E-04,-1.250000E-01
+1.460000E-04,+3.125000E-01,+1.460000E-04,+1.875000E-01
+1.480000E-04,+2.812500E+00,+1.480000E-04,+1.875000E-01
+1.500000E-04,+2.968750E+00,+1.500000E-04,+1.875000E-01
+1.520000E-04,+3.000000E+00,+1.520000E-04,+1.250000E-01
+1.540000E-04,+3.031250E+00,+1.540000E-04,+1.875000E-01
+1.560000E-04,+3.000000E+00,+1.560000E-04,+6.250000E-02
+1.580000E-04,+0.000000E+00,+1.580000E-04,+2.500000E-01
+1.600000E-04,+2.750000E+00,+1.600000E-04,+1.875000E-01
+1.620000E-04,+3.000000E+00,+1.620000E-04,+1.875000E-01
+1.640000E-04,+3.000000E+00,+1.640000E-04,+1.250000E-01
+1.660000E-04,+3.031250E+00,+1.660000E-04,+1.875000E-01
+1.680000E-04,+3.000000E+00,+1.680000E-04,+1.875000E-01
+1.700000E-04,-3.125000E-02,+1.700000E-04,+3.312500E+00
+1.720000E-04,+2.531250E+00,+1.720000E-04,+2.500000E+00
+1.740000E-04,+2.937500E+00,+1.740000E-04,+2.000000E+00
+1.760000E-04,+3.000000E+00,+1.760000E-04,+1.625000E+00
+1.780000E-04,+3.000000E+00,+1.780000E-04,+1.125000E+00
+1.800000E-04,+3.031250E+00,+1.800000E-04,+5.625000E-01
+1.820000E-04,+1.250000E-01,+1.820000E-04,+3.125000E-01
+1.840000E-04,+7.812500E-01,+1.840000E-04,+1.875000E-01
+1.860000E-04,+2.875000E+00,+1.860000E-04,+1.875000E-01
+1.880000E-04,+3.000000E+00,+1.880000E-04,+1.875000E-01
