Data collected on 04/27/2007 04:25:32 PM from an HP54600A at address 5.


Source=CHAN1,Source=CHAN1,Source=CHAN2,Source=CHAN2
Label=CHAN1,Label=CHAN1,Label=CHAN2,Label=CHAN2
Data=Horiz,Data=Vert,Data=Horiz,Data=Vert
Units=s,Units=V,Units=s,Units=V
-9.200000E-06,+3.031250E+00,-9.200000E-06,+1.875000E-01
-9.150000E-06,+3.000000E+00,-9.100000E-06,+1.250000E-01
-9.050000E-06,+3.031250E+00,-9.000000E-06,+1.250000E-01
-8.950000E-06,+3.031250E+00,-8.900000E-06,+1.250000E-01
-8.850000E-06,+3.031250E+00,-8.800000E-06,+1.875000E-01
-8.750000E-06,+3.031250E+00,-8.700000E-06,+1.250000E-01
-8.650000E-06,+3.000000E+00,-8.600000E-06,+1.250000E-01
-8.550000E-06,+3.000000E+00,-8.500000E-06,+1.250000E-01
-8.450000E-06,+3.031250E+00,-8.400000E-06,+1.250000E-01
-8.350000E-06,+3.031250E+00,-8.300000E-06,+6.250000E-02
-8.250000E-06,+3.031250E+00,-8.200000E-06,+1.250000E-01
-8.150000E-06,+2.968750E+00,-8.100000E-06,+1.250000E-01
-8.050000E-06,+3.000000E+00,-8.000000E-06,+1.250000E-01
-7.950000E-06,+3.031250E+00,-7.900000E-06,+1.250000E-01
-7.850000E-06,+3.031250E+00,-7.800000E-06,+1.875000E-01
-7.750000E-06,+3.031250E+00,-7.700000E-06,+1.250000E-01
-7.650000E-06,+2.968750E+00,-7.600000E-06,+1.250000E-01
-7.550000E-06,+3.031250E+00,-7.500000E-06,+6.250000E-02
-7.450000E-06,+3.000000E+00,-7.400000E-06,+1.250000E-01
-7.350000E-06,+3.000000E+00,-7.300000E-06,+6.250000E-02
-7.250000E-06,+3.000000E+00,-7.200000E-06,+6.250000E-02
-7.150000E-06,+3.000000E+00,-7.100000E-06,+1.250000E-01
-7.050000E-06,+3.031250E+00,-7.000000E-06,+1.250000E-01
-6.950000E-06,+3.031250E+00,-6.900000E-06,+1.250000E-01
-6.850000E-06,+3.031250E+00,-6.800000E-06,+1.875000E-01
-6.750000E-06,+3.031250E+00,-6.700000E-06,+1.250000E-01
-6.650000E-06,+3.000000E+00,-6.600000E-06,+1.875000E-01
-6.550000E-06,+3.031250E+00,-6.500000E-06,+1.250000E-01
-6.450000E-06,+3.031250E+00,-6.400000E-06,+1.250000E-01
-6.350000E-06,+3.031250E+00,-6.300000E-06,+1.875000E-01
-6.250000E-06,+3.000000E+00,-6.200000E-06,+1.875000E-01
-6.150000E-06,+3.031250E+00,-6.100000E-06,+1.250000E-01
-6.050000E-06,+3.031250E+00,-6.000000E-06,+1.250000E-01
-5.950000E-06,+3.000000E+00,-5.900000E-06,+1.250000E-01
-5.850000E-06,+3.031250E+00,-5.800000E-06,+6.250000E-02
-5.750000E-06,+3.000000E+00,-5.700000E-06,+6.250000E-02
-5.650000E-06,+3.031250E+00,-5.600000E-06,+1.250000E-01
-5.550000E-06,+3.000000E+00,-5.500000E-06,+1.875000E-01
-5.450000E-06,+3.000000E+00,-5.400000E-06,+1.250000E-01
-5.350000E-06,+3.031250E+00,-5.300000E-06,+1.250000E-01
-5.250000E-06,+3.031250E+00,-5.200000E-06,+1.250000E-01
-5.150000E-06,+3.000000E+00,-5.100000E-06,+1.250000E-01
-5.050000E-06,+3.031250E+00,-5.000000E-06,+1.250000E-01
-4.950000E-06,+3.031250E+00,-4.900000E-06,+1.250000E-01
-4.850000E-06,+3.000000E+00,-4.800000E-06,+6.250000E-02
-4.750000E-06,+3.000000E+00,-4.700000E-06,+1.250000E-01
-4.650000E-06,+3.000000E+00,-4.600000E-06,+1.250000E-01
-4.550000E-06,+3.031250E+00,-4.500000E-06,+1.250000E-01
-4.450000E-06,+3.000000E+00,-4.400000E-06,+1.250000E-01
-4.350000E-06,+3.031250E+00,-4.300000E-06,+1.875000E-01
-4.250000E-06,+3.031250E+00,-4.200000E-06,+1.875000E-01
-4.150000E-06,+3.000000E+00,-4.100000E-06,+1.250000E-01
-4.050000E-06,+3.031250E+00,-4.000000E-06,+1.250000E-01
-3.950000E-06,+3.000000E+00,-3.900000E-06,+1.250000E-01
-3.850000E-06,+3.000000E+00,-3.800000E-06,+1.250000E-01
-3.750000E-06,+3.031250E+00,-3.700000E-06,+1.250000E-01
-3.650000E-06,+3.000000E+00,-3.600000E-06,+1.250000E-01
-3.550000E-06,+3.031250E+00,-3.500000E-06,+6.250000E-02
-3.450000E-06,+3.000000E+00,-3.400000E-06,+6.250000E-02
-3.350000E-06,+3.000000E+00,-3.300000E-06,+1.250000E-01
-3.250000E-06,+3.000000E+00,-3.200000E-06,+1.875000E-01
-3.150000E-06,+3.031250E+00,-3.100000E-06,+1.250000E-01
-3.050000E-06,+3.031250E+00,-3.000000E-06,+1.250000E-01
-2.950000E-06,+3.062500E+00,-2.900000E-06,+1.250000E-01
-2.850000E-06,+3.031250E+00,-2.800000E-06,+1.250000E-01
-2.750000E-06,+3.000000E+00,-2.700000E-06,+1.250000E-01
-2.650000E-06,+3.031250E+00,-2.600000E-06,+1.250000E-01
-2.550000E-06,+3.000000E+00,-2.500000E-06,+6.250000E-02
-2.450000E-06,+3.031250E+00,-2.400000E-06,+1.250000E-01
-2.350000E-06,+2.968750E+00,-2.300000E-06,+6.250000E-02
-2.250000E-06,+3.031250E+00,-2.200000E-06,+1.875000E-01
-2.150000E-06,+3.000000E+00,-2.100000E-06,+1.250000E-01
-2.050000E-06,+3.000000E+00,-2.000000E-06,+1.875000E-01
-1.950000E-06,+3.031250E+00,-1.900000E-06,+1.250000E-01
-1.850000E-06,+3.031250E+00,-1.800000E-06,+1.250000E-01
-1.750000E-06,+3.031250E+00,-1.700000E-06,+6.250000E-02
-1.650000E-06,+3.031250E+00,-1.600000E-06,+8.750000E-01
-1.550000E-06,+3.437500E+00,-1.500000E-06,+2.062500E+00
-1.450000E-06,+3.250000E+00,-1.400000E-06,+3.375000E+00
-1.350000E-06,+3.218750E+00,-1.300000E-06,+3.937500E+00
-1.250000E-06,+3.281250E+00,-1.200000E-06,+3.625000E+00
-1.150000E-06,+3.343750E+00,-1.100000E-06,+3.312500E+00
-1.050000E-06,+3.312500E+00,-1.000000E-06,+3.250000E+00
-9.500000E-07,+2.812500E+00,-9.000000E-07,+3.187500E+00
-8.500000E-07,-3.125000E-02,-8.000000E-07,+3.437500E+00
-7.500000E-07,-6.250000E-02,-7.000000E-07,+3.562500E+00
-6.500000E-07,-6.250000E-02,-6.000000E-07,+3.437500E+00
-5.500000E-07,-3.125000E-02,-5.000000E-07,+3.312500E+00
-4.500000E-07,-6.250000E-02,-4.000000E-07,+3.375000E+00
-3.500000E-07,+0.000000E+00,-3.000000E-07,+3.375000E+00
-2.500000E-07,-3.125000E-02,-2.000000E-07,+3.375000E+00
-1.500000E-07,-3.125000E-02,-1.000000E-07,+3.375000E+00
-5.000000E-08,-3.125000E-02,-4.235165E-22,+3.437500E+00
+5.000000E-08,+3.125000E-01,+1.000000E-07,+3.375000E+00
+1.500000E-07,+5.937500E-01,+2.000000E-07,+3.375000E+00
+2.500000E-07,+8.437500E-01,+3.000000E-07,+3.312500E+00
+3.500000E-07,+1.093750E+00,+4.000000E-07,+3.250000E+00
+4.500000E-07,+1.281250E+00,+5.000000E-07,+3.250000E+00
+5.500000E-07,+1.468750E+00,+6.000000E-07,+3.187500E+00
+6.500000E-07,+1.593750E+00,+7.000000E-07,+3.187500E+00
+7.500000E-07,+1.781250E+00,+8.000000E-07,+3.125000E+00
+8.500000E-07,+1.906250E+00,+9.000000E-07,+3.125000E+00
+9.500000E-07,+2.000000E+00,+1.000000E-06,+3.062500E+00
+1.050000E-06,+2.125000E+00,+1.100000E-06,+3.000000E+00
+1.150000E-06,+2.218750E+00,+1.200000E-06,+3.062500E+00
+1.250000E-06,+2.312500E+00,+1.300000E-06,+2.937500E+00
+1.350000E-06,+2.406250E+00,+1.400000E-06,+2.937500E+00
+1.450000E-06,+2.437500E+00,+1.500000E-06,+2.875000E+00
+1.550000E-06,+2.531250E+00,+1.600000E-06,+2.937500E+00
+1.650000E-06,+2.531250E+00,+1.700000E-06,+2.875000E+00
+1.750000E-06,+2.625000E+00,+1.800000E-06,+2.812500E+00
+1.850000E-06,+2.656250E+00,+1.900000E-06,+2.750000E+00
+1.950000E-06,+2.687500E+00,+2.000000E-06,+2.687500E+00
+2.050000E-06,+2.718750E+00,+2.100000E-06,+2.687500E+00
+2.150000E-06,+2.750000E+00,+2.200000E-06,+2.687500E+00
+2.250000E-06,+2.812500E+00,+2.300000E-06,+2.687500E+00
+2.350000E-06,+2.812500E+00,+2.400000E-06,+2.625000E+00
+2.450000E-06,+2.843750E+00,+2.500000E-06,+2.562500E+00
+2.550000E-06,+2.843750E+00,+2.600000E-06,+2.562500E+00
+2.650000E-06,+2.843750E+00,+2.700000E-06,+2.500000E+00
+2.750000E-06,+2.906250E+00,+2.800000E-06,+2.437500E+00
+2.850000E-06,+2.906250E+00,+2.900000E-06,+2.437500E+00
+2.950000E-06,+2.906250E+00,+3.000000E-06,+2.375000E+00
+3.050000E-06,+2.937500E+00,+3.100000E-06,+2.312500E+00
+3.150000E-06,+2.906250E+00,+3.200000E-06,+2.312500E+00
+3.250000E-06,+2.937500E+00,+3.300000E-06,+2.312500E+00
+3.350000E-06,+2.937500E+00,+3.400000E-06,+2.187500E+00
+3.450000E-06,+2.937500E+00,+3.500000E-06,+2.250000E+00
+3.550000E-06,+2.937500E+00,+3.600000E-06,+2.250000E+00
